,ID,Year_Birth,Education,Marital_Status,Income,Children,Dt_Customer_Year,Dt_Customer_Month,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,Response,AcceptedCmp
0,5899,1950,3.0,1.0,5648.0,2,2014,3,68,28,0,6,1,1,13,1,1,0,0,20,0,0,1,0,0,0,0,Cmp3
1,2114,1946,3.0,0.0,82800.0,0,2012,11,23,1006,22,115,59,68,45,1,7,6,12,3,1,0,0,0,1,0,1,"Cmp1, Cmp5"
2,6565,1949,2.0,2.0,76995.0,1,2013,3,91,1012,80,498,0,16,176,2,11,4,9,5,1,0,0,0,0,0,0,Cmp1
3,1993,1949,3.0,2.0,58607.0,1,2012,12,63,867,0,86,0,0,19,3,2,3,9,8,0,0,0,1,0,0,0,Cmp4
4,1966,1965,3.0,2.0,84618.0,0,2013,11,96,684,100,801,21,66,0,1,6,9,10,2,0,0,0,0,1,0,0,Cmp5
5,5710,1970,1.0,1.0,40548.0,1,2012,10,31,110,0,5,2,0,3,2,2,1,4,5,0,0,0,1,0,0,0,Cmp4
6,2968,1943,3.0,0.0,48948.0,0,2013,2,53,437,8,206,160,49,42,2,7,10,5,6,0,0,1,0,0,0,1,Cmp3
7,2225,1977,1.0,0.0,82582.0,0,2014,6,54,510,120,550,156,40,241,1,4,9,7,1,1,0,1,0,0,0,1,"Cmp1, Cmp3"
8,6260,1955,2.0,1.0,82384.0,0,2012,11,55,984,51,432,180,120,190,1,3,10,13,1,0,0,0,0,1,0,1,Cmp5
9,6853,1982,2.0,0.0,75777.0,0,2013,7,12,712,26,538,69,13,80,1,3,6,11,1,0,0,0,1,1,0,1,"Cmp4, Cmp5"
10,9369,1979,2.0,0.0,88194.0,1,2014,3,19,688,14,309,201,24,38,1,11,10,10,5,1,0,1,0,0,0,1,"Cmp1, Cmp3"
11,8132,1975,3.0,2.0,60631.0,2,2013,4,88,565,6,65,0,6,19,5,9,2,8,7,0,0,0,1,0,0,0,Cmp4
12,7503,1976,1.0,0.0,75825.0,0,2012,10,40,1032,105,779,137,105,51,0,5,8,9,4,0,0,1,0,0,0,1,Cmp3
13,1618,1965,1.0,1.0,56046.0,0,2013,1,9,577,0,64,0,0,51,2,10,1,8,8,0,0,1,0,0,0,1,Cmp3
14,273,1970,2.0,2.0,36138.0,2,2013,7,48,130,0,16,0,0,5,5,3,1,4,7,0,0,0,1,0,0,0,Cmp4
15,4452,1957,1.0,0.0,50388.0,1,2014,5,3,292,6,37,0,3,34,4,6,1,6,7,1,0,0,1,0,0,1,"Cmp1, Cmp4"
16,8504,1973,1.0,2.0,79593.0,0,2014,5,70,350,60,568,110,133,145,1,5,6,7,2,0,0,0,0,1,0,0,Cmp5
17,7247,1960,1.0,0.0,47916.0,1,2012,11,72,505,0,26,0,0,75,5,7,4,6,6,0,0,0,1,0,0,0,Cmp4
18,4646,1951,2.0,2.0,78497.0,0,2013,12,44,207,26,447,75,0,223,1,5,7,12,2,1,0,0,0,0,0,0,Cmp1
19,7431,1991,3.0,0.0,68126.0,0,2012,11,40,1332,17,311,23,51,86,1,7,4,5,9,0,0,0,1,0,0,1,Cmp4
20,3267,1963,2.0,1.0,57288.0,1,2014,6,27,527,0,21,0,0,60,3,8,1,8,6,0,0,0,1,0,0,0,Cmp4
21,999,1991,1.0,0.0,86037.0,0,2013,1,95,490,44,125,29,20,22,1,6,7,11,3,0,0,0,1,1,0,1,"Cmp4, Cmp5"
22,1592,1970,1.0,2.0,90765.0,0,2014,1,25,547,99,812,151,82,33,0,4,6,5,1,1,0,0,0,1,0,0,"Cmp1, Cmp5"
23,7215,1983,1.0,0.0,101970.0,0,2013,3,69,722,27,102,44,72,168,0,6,8,13,2,1,0,0,1,1,0,1,"Cmp1, Cmp4, Cmp5"
24,1685,1967,3.0,1.0,62981.0,0,2013,3,21,796,14,590,38,44,0,1,4,5,13,3,0,0,0,1,0,0,0,Cmp4
25,7660,1973,3.0,0.0,35860.0,2,2014,5,37,15,0,8,4,2,20,2,1,1,2,5,0,0,1,0,0,0,1,Cmp3
26,7987,1969,1.0,2.0,65747.0,1,2014,3,96,346,17,48,23,13,13,4,8,1,6,6,0,0,0,1,0,0,0,Cmp4
27,10240,1949,1.0,1.0,69372.0,0,2013,2,10,997,26,269,34,13,42,1,10,4,6,4,0,0,0,1,1,0,1,"Cmp4, Cmp5"
