,From,To,Weight
0,5899,5899,1
1,5899,2114,0
2,5899,6565,0
3,5899,1993,0
4,5899,1966,0
5,5899,5710,0
6,5899,2968,1
7,5899,2225,1
8,5899,6260,0
9,5899,6853,0
10,5899,9369,1
11,5899,8132,0
12,5899,7503,1
13,5899,1618,1
14,5899,273,0
15,5899,4452,0
16,5899,8504,0
17,5899,7247,0
18,5899,4646,0
19,5899,7431,0
20,5899,3267,0
21,5899,999,0
22,5899,1592,0
23,5899,7215,0
24,5899,1685,0
25,5899,7660,1
26,5899,7987,0
27,5899,10240,0
28,5899,10573,1
29,5899,3712,0
30,5899,641,1
31,5899,10314,0
32,5899,6935,0
33,5899,9733,1
34,5899,9938,0
35,5899,3182,1
36,5899,7300,0
37,5899,2798,0
38,5899,624,1
39,5899,5176,1
40,5899,380,1
41,5899,6274,0
42,5899,5341,0
43,5899,313,0
44,5899,9529,0
45,5899,2176,0
46,5899,10089,0
47,5899,309,0
48,5899,10264,1
49,5899,1225,1
50,5899,9703,1
51,5899,3762,0
52,5899,9262,1
53,5899,4543,0
54,5899,2926,0
55,5899,3924,0
56,5899,9274,0
57,5899,6963,0
58,5899,4440,0
59,5899,2521,1
60,5899,7381,0
61,5899,9560,0
62,5899,1150,0
63,5899,9707,0
64,5899,8234,1
65,5899,11030,1
66,5899,175,1
67,5899,2061,0
68,5899,7274,0
69,5899,2557,1
70,5899,1245,0
71,5899,1726,1
72,5899,6720,0
73,5899,8318,0
74,5899,2552,0
75,5899,7030,0
76,5899,6504,1
77,5899,5067,0
78,5899,4216,0
79,5899,1361,0
80,5899,6932,0
81,5899,1340,0
82,5899,8746,0
83,5899,3725,0
84,5899,1137,1
85,5899,4947,0
86,5899,3225,1
87,5899,1992,0
88,5899,7059,1
89,5899,7999,0
90,5899,564,0
91,5899,8346,1
92,5899,10965,0
93,5899,6605,0
94,5899,9925,1
95,5899,5389,0
96,5899,6036,0
97,5899,3711,0
98,5899,2532,1
99,5899,4943,0
100,5899,4769,0
101,5899,6931,0
102,5899,5547,0
103,5899,9671,1
104,5899,5371,1
105,5899,8314,0
106,5899,3174,0
107,5899,2574,0
108,5899,5966,0
109,5899,9058,1
110,5899,254,0
111,5899,7627,0
112,5899,988,0
113,5899,10972,0
114,5899,6583,0
115,5899,4376,1
116,5899,701,1
117,5899,2942,1
118,5899,1173,0
119,5899,4611,0
120,5899,4248,0
121,5899,6940,1
122,5899,4673,0
123,5899,8779,1
124,5899,10767,0
125,5899,7230,0
126,5899,1277,0
127,5899,6384,1
128,5899,8029,0
129,5899,6988,1
130,5899,3336,1
131,5899,4301,1
132,5899,3619,0
133,5899,4692,1
134,5899,6086,0
135,5899,11101,0
136,5899,10430,0
137,5899,7875,0
138,5899,5278,0
139,5899,3560,0
140,5899,2281,1
141,5899,4073,1
142,5899,3667,0
143,5899,7573,1
144,5899,6299,1
145,5899,10846,1
146,5899,10446,0
147,5899,3479,1
148,5899,199,0
149,5899,3483,0
150,5899,2350,0
151,5899,9493,0
152,5899,1,0
153,5899,5536,0
154,5899,9499,0
155,5899,5121,1
156,5899,5848,1
157,5899,4856,1
158,5899,7186,1
159,5899,5794,0
160,5899,1031,0
161,5899,10140,0
162,5899,9353,0
163,5899,4789,1
